,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
120,Illinois NCAA,32,20,12,.625,15.37,7.68,,11,9,,15,2,,3,7,,2389,2143,,69.3,95.5,.296,.309,.502,46.9,44.7,9.6,8.1,.469,16.4,26.8,.208
121,Illinois State,32,11,21,.344,-7.03,-3.03,,6,14,,8,7,,3,9,,2127,2255,,65.7,105.6,.340,.377,.549,48.7,49.1,10.0,9.8,.518,14.8,26.7,.237
122,Illinois-Chicago,32,12,20,.375,-8.54,-2.83,,4,16,,7,8,,3,11,,2149,2292,,69.2,102.6,.325,.344,.539,54.1,55.0,8.7,11.7,.505,17.2,29.9,.234
123,Incarnate Word,31,12,19,.387,-14.83,-8.04,,6,12,,7,7,,3,12,,2194,2290,,69.3,105.3,.327,.341,.563,52.7,48.8,10.2,7.4,.534,18.3,31.6,.234
124,Indiana NCAA,33,22,11,.667,15.65,9.08,,12,8,,15,2,,5,7,,2476,2259,,68.5,99.6,.306,.382,.507,48.4,48.1,9.5,7.4,.473,14.2,27.8,.216
125,Indiana State,34,22,12,.647,5.67,-3.63,,13,7,,11,4,,7,6,,2700,2356,,71.2,97.0,.307,.357,.519,48.4,40.5,8.1,10.3,.483,16.0,22.3,.225
126,Iona NCAA,34,27,7,.794,7.93,-3.45,,17,3,,11,1,,8,4,,2597,2210,,68.9,94.0,.312,.345,.495,49.2,50.6,7.8,6.5,.459,18.1,30.5,.219
127,Iowa NCAA,32,19,13,.594,14.59,8.78,,11,9,,14,3,,4,7,,2567,2381,,69.6,105.7,.234,.322,.558,48.8,51.0,8.1,8.8,.533,16.4,27.6,.175
128,Iowa State NCAA,32,19,13,.594,16.43,10.74,,9,9,,13,3,,3,8,,2190,2008,,65.8,94.6,.400,.468,.542,47.4,57.5,10.3,7.7,.501,22.3,26.6,.288
129,IUPUI,32,5,27,.156,-18.70,-5.27,,2,18,,4,9,,0,15,,2089,2456,,67.7,112.9,.345,.390,.576,51.1,54.5,12.3,8.3,.539,14.8,32.1,.262
130,Jackson State,33,14,19,.424,-11.03,-5.06,,12,6,,7,2,,6,14,,2232,2429,,69.8,104.2,.339,.394,.556,48.9,52.3,11.2,11.1,.522,17.0,29.2,.247
131,Jacksonville,29,13,16,.448,-6.15,-2.50,,6,12,,7,6,,6,10,,1837,1816,,62.0,101.0,.253,.485,.514,48.2,54.8,9.5,8.7,.484,13.6,24.8,.185
132,Jacksonville State,31,13,18,.419,-6.53,-2.46,,6,12,,9,5,,3,12,,2166,2178,,66.5,105.2,.284,.473,.549,47.1,56.7,9.2,7.8,.518,15.2,24.9,.210
133,James Madison,33,22,11,.667,5.03,-2.24,,12,6,,11,3,,8,6,,2658,2246,,72.2,92.8,.307,.380,.510,47.3,47.2,9.8,8.2,.481,19.9,27.2,.207
134,Kansas NCAA,34,27,7,.794,19.71,12.71,,13,5,,15,1,,7,4,,2548,2310,,70.1,96.3,.312,.351,.508,49.2,46.2,8.6,7.3,.471,17.6,28.3,.226
135,Kansas City,32,11,21,.344,-9.32,-2.82,,7,11,,6,8,,3,11,,2060,2199,,65.4,103.8,.383,.403,.538,47.4,47.5,9.2,8.7,.493,15.7,29.6,.284
136,Kansas State NCAA,32,23,9,.719,16.18,9.71,,11,7,,16,1,,4,7,,2416,2209,,70.7,96.1,.367,.368,.512,48.4,56.1,10.4,10.6,.475,18.0,29.2,.254
137,Kennesaw State NCAA,34,26,8,.765,0.32,-2.58,,15,3,,15,1,,10,6,,2559,2343,,69.7,97.7,.351,.392,.527,49.1,46.8,9.4,8.5,.495,18.1,26.4,.240
138,Kent State NCAA,34,28,6,.824,8.02,-1.36,,15,3,,15,0,,9,6,,2605,2234,,69.8,93.8,.374,.411,.510,49.5,51.2,7.7,7.4,.466,19.9,29.7,.270
139,Kentucky NCAA,32,21,11,.656,15.15,8.11,,12,6,,14,4,,6,4,,2402,2177,,66.8,101.0,.299,.352,.524,43.7,47.8,8.8,5.2,.488,14.8,25.5,.223
140,La Salle,34,15,19,.441,-2.66,0.10,,7,11,,8,8,,5,8,,2374,2468,,68.5,104.9,.316,.349,.538,50.4,50.7,8.6,11.6,.510,15.5,30.5,.216
141,Lafayette,34,11,23,.324,-8.00,-4.71,,7,11,,5,7,,5,16,,2120,2232,,63.5,101.2,.294,.412,.536,51.9,55.3,9.6,9.2,.508,16.2,25.6,.205
142,Lamar,31,9,22,.290,-17.14,-7.39,,5,13,,6,9,,2,12,,2104,2311,,67.9,109.0,.305,.442,.545,49.8,64.2,11.8,9.7,.522,15.3,33.2,.204
143,Lehigh,30,16,14,.533,-9.16,-6.12,,11,7,,9,6,,7,8,,2094,2082,,69.7,99.5,.284,.349,.516,51.9,47.7,8.4,8.1,.489,14.9,25.8,.193
144,Liberty,35,27,8,.771,8.44,-2.28,,15,3,,19,1,,6,6,,2618,2119,,65.7,92.2,.268,.366,.510,47.0,42.1,8.8,9.1,.478,18.2,20.7,.196
145,Lindenwood,32,11,21,.344,-14.43,-5.98,,6,12,,9,4,,2,14,,2226,2362,,69.2,104.7,.297,.417,.540,52.3,54.0,9.8,8.2,.513,15.8,29.7,.206
146,Lipscomb,33,20,13,.606,-1.84,-3.90,,11,7,,13,2,,7,11,,2521,2343,,69.7,100.4,.230,.392,.522,47.7,41.2,8.7,7.3,.493,14.6,24.1,.171
147,Little Rock,31,10,21,.323,-12.27,-6.61,,6,12,,8,5,,2,16,,2337,2461,,72.9,108.0,.371,.377,.572,50.4,52.6,8.5,8.7,.549,17.0,29.5,.247
148,Long Beach State,33,17,16,.515,-0.33,-0.17,,11,9,,9,5,,6,9,,2524,2455,,72.6,99.8,.296,.399,.523,46.1,55.0,10.1,6.5,.489,16.5,27.7,.216
149,Long Island University,29,3,26,.103,-24.79,-6.94,,1,15,,2,10,,1,14,,1935,2319,,73.6,108.7,.315,.352,.562,51.9,59.0,11.9,8.9,.539,15.2,29.5,.213
150,Longwood,32,20,12,.625,-1.78,-6.38,,12,6,,12,3,,8,8,,2341,2119,,67.1,98.7,.324,.426,.542,47.6,52.8,8.8,9.2,.509,19.1,26.4,.233
151,Louisiana NCAA,33,26,7,.788,3.95,-1.08,,13,5,,14,0,,7,7,,2575,2304,,69.3,100.4,.322,.303,.526,45.2,41.3,9.4,7.9,.493,15.8,26.0,.228
152,Louisiana State,33,14,19,.424,3.74,6.86,,2,16,,10,8,,0,9,,2231,2334,,66.7,106.1,.303,.416,.549,49.3,52.0,9.0,10.4,.518,15.3,28.8,.219
153,Louisiana Tech,33,15,18,.455,-0.19,1.61,,7,13,,9,6,,4,11,,2383,2320,,67.7,101.6,.373,.425,.556,48.5,59.1,9.9,10.4,.524,19.4,27.7,.261
154,Louisiana-Monroe,32,11,21,.344,-8.48,-0.41,,7,11,,7,8,,4,10,,2157,2235,,67.2,102.7,.277,.393,.537,50.2,54.0,9.4,10.0,.505,16.3,28.9,.205
155,Louisville,32,4,28,.125,-5.47,6.38,,2,18,,4,13,,0,11,,2046,2425,,67.0,113.1,.306,.397,.569,50.8,56.1,10.4,10.3,.541,13.2,30.0,.221
156,Loyola (IL),31,10,21,.323,-4.49,0.61,,4,14,,6,8,,3,8,,2089,2247,,67.0,106.8,.375,.381,.559,51.2,51.2,11.8,9.9,.516,15.8,28.5,.285
157,Loyola (MD),33,13,20,.394,-12.10,-6.19,,7,11,,9,6,,3,13,,2222,2331,,66.8,105.3,.288,.365,.568,51.1,54.3,10.1,7.9,.544,18.1,28.0,.204
158,Loyola Marymount,31,19,12,.613,5.39,4.72,,9,7,,13,3,,4,7,,2335,2265,,69.1,104.4,.347,.339,.548,46.8,45.9,7.4,8.3,.513,14.6,24.1,.251
159,Maine,30,13,17,.433,-8.91,-4.70,,7,9,,8,4,,5,12,,2054,2091,,67.0,102.8,.280,.366,.552,52.7,52.0,8.6,8.4,.525,18.1,28.7,.200
160,Manhattan,30,12,18,.400,-9.87,-4.94,,10,10,,5,9,,6,7,,2016,2112,,67.2,102.6,.300,.364,.536,53.3,55.7,11.0,8.6,.507,17.8,33.4,.211
161,Marist,33,13,20,.394,-8.44,-5.69,,6,14,,5,10,,4,9,,2110,2201,,65.5,101.4,.284,.376,.512,51.1,48.7,8.8,8.4,.479,14.5,28.9,.204
162,Marquette NCAA,34,28,6,.824,17.22,7.87,,17,3,,17,1,,8,4,,2718,2400,,69.6,100.0,.290,.375,.538,52.7,58.6,8.0,9.6,.511,19.7,32.1,.203
163,Marshall,32,24,8,.750,7.29,-2.68,,13,5,,15,2,,9,5,,2616,2281,,72.7,96.9,.277,.344,.500,49.7,46.9,8.8,4.0,.478,17.3,32.4,.176
164,Maryland NCAA,33,21,12,.636,15.11,7.90,,11,9,,16,1,,2,9,,2322,2084,,64.5,97.5,.278,.317,.512,48.4,48.1,7.1,9.9,.479,16.2,27.2,.202
165,Maryland-Baltimore County,32,18,14,.563,-6.29,-7.03,,8,8,,13,4,,5,10,,2378,2328,,68.4,106.0,.259,.383,.551,50.5,50.8,7.6,7.8,.525,14.9,26.6,.188
166,Maryland-Eastern Shore,31,18,13,.581,-7.54,-5.39,,9,5,,10,3,,7,9,,2162,2054,,71.4,92.4,.334,.365,.530,51.7,53.1,9.3,9.1,.494,23.3,30.2,.238
167,Massachusetts,31,15,16,.484,-1.22,0.42,,6,12,,8,6,,3,8,,2163,2214,,70.7,101.1,.324,.407,.535,47.4,59.2,11.0,8.2,.502,16.9,27.9,.231
168,Massachusetts-Lowell,34,26,8,.765,0.55,-8.61,,11,5,,17,0,,9,8,,2653,2243,,69.7,94.3,.321,.327,.502,43.9,46.5,10.8,7.7,.462,17.4,26.1,.232
169,McNeese State,34,11,23,.324,-13.31,-5.16,,6,12,,6,8,,5,15,,2352,2565,,67.9,109.9,.344,.389,.574,49.4,62.3,10.2,7.1,.545,16.6,30.9,.245
170,Memphis NCAA,34,26,8,.765,15.06,7.20,,13,5,,13,2,,7,5,,2713,2446,,72.6,98.0,.349,.429,.512,49.5,55.7,10.1,9.6,.468,17.9,32.3,.258
171,Mercer,33,14,19,.424,-5.00,-3.87,,6,12,,7,7,,4,10,,2268,2211,,65.5,101.1,.354,.339,.526,48.2,45.7,8.6,5.9,.486,15.7,27.4,.257
172,Merrimack,34,18,16,.529,-11.46,-9.40,,12,4,,10,6,,8,8,,2128,2119,,67.1,92.8,.257,.334,.507,56.6,59.4,9.9,10.8,.477,22.1,34.8,.183
173,Miami (FL) NCAA,32,25,7,.781,12.34,5.06,,15,5,,16,1,,7,4,,2541,2308,,69.0,104.2,.241,.377,.541,48.0,53.3,8.6,8.4,.513,15.8,29.0,.180
174,Miami (OH),32,12,20,.375,-7.08,-2.05,,6,12,,9,9,,3,9,,2357,2385,,69.4,107.0,.360,.365,.560,51.5,49.8,11.1,8.3,.525,16.7,31.1,.262
175,Michigan,33,18,15,.545,12.81,8.93,,11,9,,13,4,,3,7,,2429,2301,,67.5,101.1,.259,.336,.506,49.3,45.5,7.6,7.2,.479,12.7,26.1,.180
176,Michigan State NCAA,31,19,12,.613,14.06,11.22,,11,8,,12,2,,5,7,,2177,2089,,65.4,101.8,.286,.383,.514,47.8,52.5,8.7,9.4,.480,12.9,25.2,.206
177,Middle Tennessee,33,19,14,.576,2.71,1.84,,11,9,,12,2,,3,11,,2313,2236,,67.0,100.4,.334,.341,.548,48.6,45.6,10.1,8.0,.508,19.4,29.0,.253
178,Milwaukee,32,21,11,.656,-4.48,-3.97,,14,6,,15,3,,6,7,,2507,2363,,72.4,100.4,.288,.415,.507,48.0,49.9,10.5,9.1,.471,15.9,32.1,.209
179,Minnesota,31,9,22,.290,0.03,8.19,,2,17,,6,11,,1,9,,1949,2202,,65.4,107.7,.248,.313,.531,52.5,51.9,10.1,10.3,.505,12.7,30.8,.176
180,Mississippi,33,12,21,.364,6.18,7.76,,3,15,,7,10,,2,9,,2227,2279,,66.6,103.3,.303,.344,.532,48.9,56.0,10.6,7.4,.495,15.7,29.9,.226
181,Mississippi State NCAA,34,21,13,.618,11.86,7.13,,8,10,,12,4,,4,6,,2234,2073,,64.9,92.6,.276,.438,.496,46.9,58.2,9.6,8.1,.462,18.9,28.6,.197
182,Mississippi Valley State,32,5,27,.156,-17.96,-4.24,,4,14,,4,6,,1,19,,1953,2392,,68.2,108.7,.398,.395,.563,52.4,53.5,13.1,9.1,.533,16.8,32.4,.272
183,Missouri NCAA,33,24,9,.727,12.14,7.24,,11,7,,16,3,,5,5,,2623,2461,,70.2,105.4,.352,.441,.562,55.2,57.7,9.0,6.7,.523,20.6,37.3,.264
184,Missouri State,32,17,15,.531,0.72,-0.63,,12,8,,10,4,,5,8,,2098,2021,,63.0,99.1,.296,.388,.521,47.0,48.9,9.9,10.1,.487,16.4,26.6,.213
185,Monmouth,33,7,26,.212,-15.65,-2.62,,5,13,,3,10,,3,15,,2036,2466,,68.4,109.3,.388,.460,.577,52.4,55.9,10.1,9.4,.544,18.2,32.9,.279
186,Montana,31,17,14,.548,-0.82,-1.52,,10,7,,9,4,,6,9,,2147,2114,,64.1,106.0,.368,.354,.553,49.9,46.9,7.9,7.1,.508,14.3,24.9,.285
187,Montana State NCAA,34,25,9,.735,2.45,-1.65,,15,3,,12,1,,10,5,,2523,2265,,67.9,97.4,.351,.349,.530,48.1,38.4,8.0,5.6,.487,17.9,24.0,.263
188,Morehead State,33,22,11,.667,-6.76,-5.28,,14,4,,14,2,,8,8,,2315,2189,,67.0,98.6,.278,.321,.518,47.1,42.9,8.7,9.2,.486,15.1,23.3,.200
189,Morgan State,31,15,16,.484,-11.46,-5.98,,8,7,,10,2,,3,12,,2323,2242,,73.8,96.8,.395,.335,.526,52.4,55.6,11.2,8.9,.492,21.6,36.1,.267
190,Mount St. Mary's,33,13,20,.394,-8.04,-3.89,,8,12,,5,9,,7,10,,2101,2212,,65.8,101.1,.291,.361,.517,50.6,48.9,11.6,8.3,.484,15.5,29.6,.209
191,Murray State,32,17,15,.531,-4.10,-1.26,,11,9,,11,2,,3,11,,2254,2305,,66.9,106.4,.242,.416,.541,49.6,52.8,8.5,7.5,.517,14.0,27.2,.174
192,Navy,31,18,13,.581,-2.83,-6.17,,11,7,,9,6,,9,7,,2152,2013,,64.9,99.2,.295,.387,.524,48.6,55.0,8.8,8.5,.501,17.3,27.7,.193
193,NC State NCAA,33,23,10,.697,12.48,5.09,,12,8,,15,2,,4,6,,2580,2336,,69.9,101.0,.340,.335,.536,48.8,45.4,7.3,6.7,.498,16.8,26.5,.250
194,Nebraska,32,16,16,.500,7.39,9.30,,9,11,,11,4,,4,9,,2175,2236,,67.2,102.3,.219,.436,.521,50.7,59.6,9.8,12.1,.499,15.3,28.3,.152
195,Nevada NCAA,33,22,11,.667,10.37,6.78,,12,6,,14,1,,6,7,,2397,2238,,66.4,100.2,.314,.424,.530,50.1,53.9,7.5,8.4,.495,16.4,24.6,.229
196,Nevada-Las Vegas,32,19,13,.594,7.54,5.51,,7,11,,10,7,,5,6,,2376,2241,,69.6,98.7,.308,.445,.549,51.9,58.2,8.6,8.3,.517,21.6,30.5,.225
197,New Hampshire,30,15,15,.500,-9.11,-5.75,,9,7,,11,4,,4,11,,1992,2011,,65.7,101.2,.297,.333,.518,50.8,40.4,8.4,8.1,.487,14.5,26.4,.208
198,New Mexico,34,22,12,.647,11.14,5.53,,8,10,,15,5,,5,6,,2749,2525,,72.0,102.0,.289,.386,.529,48.6,52.6,8.1,6.7,.501,15.3,27.0,.201
199,New Mexico State,24,9,15,.375,-1.29,2.71,,2,10,,6,4,,1,9,,1769,1720,,71.6,100.1,.348,.451,.539,48.6,50.9,7.6,7.3,.504,17.3,25.1,.248
200,New Orleans,32,12,20,.375,-13.95,-7.09,,7,11,,6,9,,4,10,,2340,2536,,72.5,108.5,.383,.364,.577,51.3,49.4,12.0,6.4,.540,18.1,32.6,.285
201,Niagara,31,16,15,.516,-6.68,-4.48,,10,10,,9,4,,4,10,,2016,2044,,63.7,102.8,.332,.306,.530,50.1,43.9,8.3,10.3,.494,14.8,28.0,.240
202,Nicholls State,31,16,15,.516,-8.22,-5.14,,11,7,,11,3,,4,11,,2344,2253,,72.7,99.9,.456,.386,.555,50.9,59.1,8.5,7.6,.510,21.3,30.9,.329
203,NJIT,30,7,23,.233,-12.62,-5.65,,4,12,,5,8,,2,15,,2008,2182,,66.6,107.4,.278,.386,.539,52.2,49.1,7.7,8.8,.516,13.0,28.7,.187
204,Norfolk State,33,22,11,.667,-3.52,-6.42,,9,5,,10,2,,6,8,,2501,2264,,68.1,100.0,.374,.473,.525,46.5,62.0,9.6,7.3,.490,17.5,29.5,.256
205,North Alabama,32,18,14,.563,-8.19,-4.08,,10,8,,9,4,,8,10,,2396,2380,,69.3,106.1,.306,.363,.541,50.8,50.4,8.1,9.7,.510,14.1,27.6,.219
206,North Carolina,33,20,13,.606,12.93,7.66,,11,9,,12,3,,4,7,,2514,2340,,69.3,100.3,.263,.320,.516,46.4,42.0,8.1,9.1,.487,13.2,23.3,.186
207,North Carolina A&T,32,13,19,.406,-11.26,-3.81,,8,10,,8,5,,4,10,,2264,2362,,70.7,103.6,.289,.374,.528,52.5,48.9,7.1,7.9,.496,15.0,30.0,.210
208,North Carolina Central,30,18,12,.600,-2.81,-6.00,,10,4,,13,1,,4,10,,2268,1977,,70.2,92.4,.340,.368,.514,47.4,54.5,9.5,10.4,.481,20.7,28.6,.232
209,North Dakota,33,13,20,.394,-7.16,-2.65,,6,12,,8,8,,4,11,,2380,2438,,68.2,107.5,.268,.317,.555,51.3,39.7,8.8,8.7,.526,14.1,26.7,.200
210,North Dakota State,33,16,17,.485,-4.09,-1.63,,11,7,,9,4,,5,10,,2404,2414,,69.3,105.6,.267,.358,.534,47.9,42.8,9.4,7.4,.501,11.5,22.9,.201
211,North Florida,31,14,17,.452,-6.56,-2.36,,9,9,,11,2,,3,14,,2363,2405,,69.1,110.5,.234,.290,.540,52.2,52.3,10.0,9.5,.515,12.4,32.0,.171
212,North Texas,34,27,7,.794,9.49,1.37,,16,4,,13,2,,9,3,,2188,1892,,59.4,92.7,.411,.347,.494,46.2,41.2,9.1,7.2,.448,18.0,27.5,.285
213,Northeastern,30,10,20,.333,-10.36,-3.99,,6,12,,6,6,,3,12,,1959,2150,,67.1,105.9,.317,.295,.534,47.8,45.5,11.2,8.9,.501,12.7,26.9,.226
214,Northern Arizona,35,12,23,.343,-3.59,0.08,,5,13,,6,8,,3,13,,2581,2615,,68.0,108.3,.383,.385,.577,50.0,52.4,7.1,8.6,.540,15.8,25.1,.284
215,Northern Colorado,32,12,20,.375,-4.27,-0.27,,6,12,,6,7,,3,12,,2355,2480,,69.3,110.9,.320,.332,.560,51.1,48.3,7.6,10.5,.529,12.4,26.9,.233
216,Northern Illinois,32,13,19,.406,-6.19,-2.29,,9,9,,5,7,,7,10,,2304,2401,,70.9,105.4,.357,.368,.542,53.2,48.5,9.4,8.5,.510,16.3,32.5,.247
217,Northern Iowa,32,14,18,.438,-2.32,-0.71,,9,11,,8,8,,4,7,,2244,2238,,67.8,102.3,.264,.469,.558,50.1,52.1,9.8,7.1,.532,16.9,22.5,.192
218,Northern Kentucky NCAA,34,22,12,.647,-0.95,-3.41,,14,6,,14,3,,6,6,,2320,2161,,63.6,98.2,.303,.392,.538,50.8,61.3,8.9,7.1,.509,20.9,31.9,.213
219,Northwestern NCAA,32,21,11,.656,13.59,8.41,,12,8,,13,5,,7,4,,2165,1999,,65.3,94.9,.316,.424,.514,50.4,61.0,7.0,10.1,.484,19.0,27.3,.214
220,Northwestern State,33,22,11,.667,-4.45,-6.76,,13,5,,10,3,,10,7,,2463,2378,,68.4,104.5,.382,.338,.553,51.4,52.2,8.0,8.5,.510,18.5,33.8,.287
221,Notre Dame,32,11,21,.344,2.01,4.51,,3,17,,11,8,,0,10,,2227,2307,,65.4,109.8,.265,.361,.550,53.6,50.7,7.3,9.9,.521,12.0,26.5,.198
222,Oakland,32,13,19,.406,-7.79,-2.63,,11,9,,8,6,,5,10,,2347,2442,,69.0,108.5,.227,.395,.566,54.6,61.7,8.1,8.3,.541,16.9,32.7,.172
223,Ohio,33,19,14,.576,1.42,-2.33,,10,8,,14,1,,4,11,,2602,2413,,69.7,104.5,.335,.387,.539,47.8,47.0,8.4,8.3,.511,15.5,28.5,.227
224,Ohio State,35,16,19,.457,13.26,9.72,,5,15,,10,6,,1,10,,2538,2414,,65.9,103.9,.281,.367,.521,48.0,49.1,7.1,7.1,.489,13.7,28.6,.203
225,Oklahoma,32,15,17,.469,11.86,11.73,,5,13,,9,7,,2,8,,2165,2161,,66.4,100.9,.301,.307,.512,50.0,42.9,10.6,9.9,.480,13.6,27.2,.211
226,Oklahoma State,34,19,15,.559,13.25,10.81,,8,10,,11,5,,5,7,,2328,2245,,68.3,96.4,.312,.382,.500,47.5,52.6,11.0,7.5,.457,16.4,28.2,.234
227,Old Dominion,31,19,12,.613,-0.32,-0.55,,11,7,,12,4,,6,5,,2073,2052,,65.6,100.5,.343,.423,.510,48.1,55.7,8.9,9.9,.479,15.0,28.7,.228
228,Omaha,32,9,23,.281,-10.41,-1.44,,4,14,,5,7,,1,15,,2192,2438,,68.3,111.1,.331,.409,.567,51.9,52.1,10.4,8.0,.532,14.0,28.6,.248
229,Oral Roberts NCAA,34,30,4,.882,9.51,-3.03,,18,0,,16,0,,11,4,,2864,2384,,71.7,97.8,.205,.398,.507,49.7,45.7,7.2,7.6,.483,15.7,27.1,.147
230,Oregon,34,20,14,.588,14.05,9.78,,12,8,,14,5,,4,6,,2416,2271,,66.4,100.1,.241,.369,.511,46.0,50.8,8.9,7.3,.478,14.3,26.3,.184
231,Oregon State,32,11,21,.344,0.57,7.08,,5,15,,10,7,,1,10,,1959,2144,,65.1,102.9,.340,.382,.529,51.9,58.0,10.0,9.9,.492,15.7,30.1,.246
232,Pacific,33,15,18,.455,-0.15,2.46,,7,9,,7,10,,7,7,,2502,2565,,70.8,109.0,.363,.403,.565,53.9,49.3,7.6,8.9,.539,15.9,30.7,.247
233,Penn State NCAA,35,22,13,.629,12.77,8.85,,10,10,,13,4,,4,7,,2531,2394,,64.5,104.1,.259,.375,.520,51.7,56.1,7.2,9.6,.492,11.6,25.1,.182
234,Pennsylvania,30,17,13,.567,0.63,-1.34,,9,5,,11,4,,6,9,,2249,2160,,67.9,104.2,.311,.442,.520,47.3,52.2,9.4,8.2,.490,12.9,27.7,.213
235,Pepperdine,31,9,22,.290,0.26,5.09,,2,14,,8,8,,0,12,,2417,2520,,73.9,108.2,.320,.340,.549,50.9,48.0,9.6,5.4,.521,14.1,29.3,.225
236,Pittsburgh NCAA,34,23,11,.676,9.97,4.47,,14,6,,14,3,,7,5,,2572,2385,,68.0,103.2,.300,.396,.522,48.8,53.1,7.3,10.1,.490,14.6,28.8,.213
237,Portland,33,14,19,.424,2.07,4.52,,5,11,,10,7,,2,10,,2566,2594,,71.1,109.7,.280,.436,.560,51.9,50.9,8.7,6.0,.538,14.8,30.0,.192
238,Portland State,31,12,19,.387,-4.79,-0.21,,6,11,,6,7,,5,9,,2363,2340,,72.3,104.4,.455,.339,.576,53.3,54.0,7.1,5.9,.532,19.6,29.9,.338
239,Prairie View,33,13,20,.394,-8.97,-6.64,,9,10,,9,4,,4,14,,2226,2256,,69.7,96.3,.411,.336,.528,48.6,48.2,8.1,10.5,.485,19.0,27.2,.294
240,Presbyterian,32,5,27,.156,-13.58,-5.05,,1,17,,5,9,,0,15,,2021,2223,,65.1,105.9,.388,.351,.557,50.1,47.6,10.6,11.8,.532,16.5,29.3,.254
