,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
120,Illinois NCAA,32,20,12,.625,15.37,7.68,,11,9,,15,2,,3,7,,2389,2143,,69.3,106.5,.338,.419,.543,53.1,46.7,9.8,14.0,.516,15.7,32.3,.230
121,Illinois State,32,11,21,.344,-7.03,-3.03,,6,14,,8,7,,3,9,,2127,2255,,65.7,99.6,.313,.406,.545,51.3,46.8,8.6,9.5,.502,19.3,28.2,.248
122,Illinois-Chicago,32,12,20,.375,-8.54,-2.83,,4,16,,7,8,,3,11,,2149,2292,,69.2,96.2,.341,.431,.516,45.9,56.4,9.2,12.4,.487,16.4,23.1,.223
123,Incarnate Word,31,12,19,.387,-14.83,-8.04,,6,12,,7,7,,3,12,,2194,2290,,69.3,100.9,.342,.317,.537,47.3,49.2,11.9,7.6,.497,17.2,27.0,.255
124,Indiana NCAA,33,22,11,.667,15.65,9.08,,12,8,,15,2,,5,7,,2476,2259,,68.5,109.2,.301,.263,.565,51.6,54.2,8.4,13.6,.538,14.9,28.0,.214
125,Indiana State,34,22,12,.647,5.67,-3.63,,13,7,,11,4,,7,6,,2700,2356,,71.2,111.1,.313,.461,.596,51.6,56.9,9.2,5.0,.564,15.0,22.2,.241
126,Iona NCAA,34,27,7,.794,7.93,-3.45,,17,3,,11,1,,8,4,,2597,2210,,68.9,110.5,.290,.321,.549,50.8,53.4,10.8,14.9,.518,13.2,32.0,.212
127,Iowa NCAA,32,19,13,.594,14.59,8.78,,11,9,,14,3,,4,7,,2567,2381,,69.6,113.9,.326,.374,.553,51.2,58.1,9.4,8.5,.519,12.0,32.2,.240
128,Iowa State NCAA,32,19,13,.594,16.43,10.74,,9,9,,13,3,,3,8,,2190,2008,,65.8,103.2,.278,.338,.531,52.6,54.9,13.3,11.2,.507,16.9,33.9,.187
129,IUPUI,32,5,27,.156,-18.70,-5.27,,2,18,,4,9,,0,15,,2089,2456,,67.7,96.0,.313,.286,.529,48.9,45.5,8.5,7.2,.500,20.4,29.3,.216
130,Jackson State,33,14,19,.424,-11.03,-5.06,,12,6,,7,2,,6,14,,2232,2429,,69.8,95.8,.330,.340,.505,51.1,50.8,10.6,7.2,.473,18.9,33.1,.222
131,Jacksonville,29,13,16,.448,-6.15,-2.50,,6,12,,7,6,,6,10,,1837,1816,,62.0,102.2,.232,.387,.545,51.8,54.8,8.2,8.5,.517,16.5,25.2,.174
132,Jacksonville State,31,13,18,.419,-6.53,-2.46,,6,12,,9,5,,3,12,,2166,2178,,66.5,104.6,.328,.438,.550,52.9,51.0,8.3,8.0,.521,17.2,30.4,.229
133,James Madison,33,22,11,.667,5.03,-2.24,,12,6,,11,3,,8,6,,2658,2246,,72.2,109.8,.370,.372,.560,52.7,47.6,12.3,7.3,.527,15.5,32.8,.262
134,Kansas NCAA,34,27,7,.794,19.71,12.71,,13,5,,15,1,,7,4,,2548,2310,,70.1,106.2,.298,.341,.553,50.8,59.5,12.5,10.0,.524,15.4,28.4,.213
135,Kansas City,32,11,21,.344,-9.32,-2.82,,7,11,,6,8,,3,11,,2060,2199,,65.4,97.2,.324,.361,.484,52.6,41.5,9.1,11.3,.443,16.9,36.5,.231
136,Kansas State NCAA,32,23,9,.719,16.18,9.71,,11,7,,16,1,,4,7,,2416,2209,,70.7,105.1,.370,.363,.556,51.6,64.0,10.7,7.7,.515,17.4,31.1,.277
137,Kennesaw State NCAA,34,26,8,.765,0.32,-2.58,,15,3,,15,1,,10,6,,2559,2343,,69.7,106.8,.363,.390,.558,50.9,54.2,11.3,8.2,.534,15.6,28.0,.240
138,Kent State NCAA,34,28,6,.824,8.02,-1.36,,15,3,,15,0,,9,6,,2605,2234,,69.8,109.4,.313,.387,.551,50.5,45.0,12.7,12.2,.519,14.1,30.7,.227
139,Kentucky NCAA,32,21,11,.656,15.15,8.11,,12,6,,14,4,,6,4,,2402,2177,,66.8,111.4,.325,.301,.542,56.3,55.7,9.6,10.2,.512,14.4,38.7,.228
140,La Salle,34,15,19,.441,-2.66,0.10,,7,11,,8,8,,5,8,,2374,2468,,68.5,100.9,.283,.356,.514,49.6,47.3,9.7,8.5,.485,15.6,30.5,.196
141,Lafayette,34,11,23,.324,-8.00,-4.71,,7,11,,5,7,,5,16,,2120,2232,,63.5,96.1,.245,.484,.505,48.1,68.8,8.9,9.4,.487,15.9,23.8,.153
142,Lamar,31,9,22,.290,-17.14,-7.39,,5,13,,6,9,,2,12,,2104,2311,,67.9,99.2,.325,.315,.516,50.2,53.7,9.4,10.1,.481,17.8,33.2,.229
143,Lehigh,30,16,14,.533,-9.16,-6.12,,11,7,,9,6,,7,8,,2094,2082,,69.7,100.1,.304,.344,.539,48.1,49.2,8.9,6.1,.503,15.4,20.1,.227
144,Liberty,35,27,8,.771,8.44,-2.28,,15,3,,19,1,,6,6,,2618,2119,,65.7,113.9,.260,.496,.589,53.0,60.7,9.8,6.7,.567,14.1,26.1,.190
145,Lindenwood,32,11,21,.344,-14.43,-5.98,,6,12,,9,4,,2,14,,2226,2362,,69.2,98.6,.278,.355,.525,47.7,46.8,9.0,9.4,.493,16.7,25.0,.202
146,Lipscomb,33,20,13,.606,-1.84,-3.90,,11,7,,13,2,,7,11,,2521,2343,,69.7,108.0,.250,.377,.568,52.3,49.4,7.6,7.5,.543,15.2,26.4,.186
147,Little Rock,31,10,21,.323,-12.27,-6.61,,6,12,,8,5,,2,16,,2337,2461,,72.9,102.6,.331,.297,.529,49.6,54.4,9.2,6.3,.492,15.9,29.7,.242
148,Long Beach State,33,17,16,.515,-0.33,-0.17,,11,9,,9,5,,6,9,,2524,2455,,72.6,102.6,.339,.237,.521,53.9,52.1,10.0,8.7,.490,16.1,35.0,.230
149,Long Island University,29,3,26,.103,-24.79,-6.94,,1,15,,2,10,,1,14,,1935,2319,,73.6,90.7,.318,.250,.499,48.1,58.3,9.0,8.5,.470,19.7,26.1,.210
150,Longwood,32,20,12,.625,-1.78,-6.38,,12,6,,12,3,,8,8,,2341,2119,,67.1,109.0,.330,.373,.551,52.4,47.9,9.6,7.2,.518,15.2,32.6,.238
151,Louisiana NCAA,33,26,7,.788,3.95,-1.08,,13,5,,14,0,,7,7,,2575,2304,,69.3,112.2,.371,.322,.571,54.8,51.4,10.3,7.7,.545,15.1,34.4,.254
152,Louisiana State,33,14,19,.424,3.74,6.86,,2,16,,10,8,,0,9,,2231,2334,,66.7,101.4,.337,.389,.513,50.7,52.9,10.1,8.1,.473,15.7,31.7,.243
153,Louisiana Tech,33,15,18,.455,-0.19,1.61,,7,13,,9,6,,4,11,,2383,2320,,67.7,104.3,.283,.422,.544,51.5,47.8,11.4,8.5,.515,17.1,31.6,.204
154,Louisiana-Monroe,32,11,21,.344,-8.48,-0.41,,7,11,,7,8,,4,10,,2157,2235,,67.2,99.1,.299,.371,.508,49.8,53.1,10.1,10.2,.473,16.0,29.7,.213
155,Louisville,32,4,28,.125,-5.47,6.38,,2,18,,4,13,,0,11,,2046,2425,,67.0,95.4,.329,.358,.520,49.2,41.8,6.8,8.0,.480,19.6,28.2,.244
156,Loyola (IL),31,10,21,.323,-4.49,0.61,,4,14,,6,8,,3,8,,2089,2247,,67.0,99.3,.311,.402,.556,48.8,56.5,8.3,8.9,.529,19.8,24.5,.217
157,Loyola (MD),33,13,20,.394,-12.10,-6.19,,7,11,,9,6,,3,13,,2222,2331,,66.8,100.4,.280,.385,.539,48.9,55.8,11.2,6.8,.520,17.8,27.4,.180
158,Loyola Marymount,31,19,12,.613,5.39,4.72,,9,7,,13,3,,4,7,,2335,2265,,69.1,107.7,.311,.433,.556,53.2,44.0,7.8,7.3,.533,15.9,30.9,.209
159,Maine,30,13,17,.433,-8.91,-4.70,,7,9,,8,4,,5,12,,2054,2091,,67.0,100.9,.231,.348,.541,47.3,52.9,14.0,5.9,.516,16.3,23.6,.168
160,Manhattan,30,12,18,.400,-9.87,-4.94,,10,10,,5,9,,6,7,,2016,2112,,67.2,98.0,.309,.366,.523,46.7,50.5,11.0,9.6,.497,17.4,26.9,.204
161,Marist,33,13,20,.394,-8.44,-5.69,,6,14,,5,10,,4,9,,2110,2201,,65.5,97.2,.289,.424,.510,48.9,47.9,9.0,10.5,.479,15.9,25.9,.202
162,Marquette NCAA,34,28,6,.824,17.22,7.87,,17,3,,17,1,,8,4,,2718,2400,,69.6,113.3,.271,.419,.583,47.3,59.4,13.3,8.7,.560,13.5,26.5,.195
163,Marshall,32,24,8,.750,7.29,-2.68,,13,5,,15,2,,9,5,,2616,2281,,72.7,111.1,.258,.368,.550,50.3,56.9,12.2,12.8,.527,13.5,32.4,.179
164,Maryland NCAA,33,21,12,.636,15.11,7.90,,11,9,,16,1,,2,9,,2322,2084,,64.5,108.6,.338,.375,.548,51.6,46.3,8.3,9.9,.511,14.1,30.2,.250
165,Maryland-Baltimore County,32,18,14,.563,-6.29,-7.03,,8,8,,13,4,,5,10,,2378,2328,,68.4,108.2,.265,.390,.547,49.5,52.5,8.2,7.0,.517,12.9,26.5,.198
166,Maryland-Eastern Shore,31,18,13,.581,-7.54,-5.39,,9,5,,10,3,,7,9,,2162,2054,,71.4,97.3,.292,.397,.524,48.3,53.7,15.5,5.6,.491,18.0,28.6,.210
167,Massachusetts,31,15,16,.484,-1.22,0.42,,6,12,,8,6,,3,8,,2163,2214,,70.7,98.8,.322,.297,.502,52.6,54.6,9.6,11.2,.464,17.1,34.5,.231
168,Massachusetts-Lowell,34,26,8,.765,0.55,-8.61,,11,5,,17,0,,9,8,,2653,2243,,69.7,111.6,.332,.310,.574,56.1,50.4,10.0,12.6,.543,16.8,36.4,.244
169,McNeese State,34,11,23,.324,-13.31,-5.16,,6,12,,6,8,,5,15,,2352,2565,,67.9,100.8,.287,.398,.520,50.6,44.9,10.5,5.2,.496,18.1,33.9,.190
170,Memphis NCAA,34,26,8,.765,15.06,7.20,,13,5,,13,2,,7,5,,2713,2446,,72.6,108.7,.359,.288,.569,50.5,54.6,11.8,13.2,.532,16.1,31.0,.268
171,Mercer,33,14,19,.424,-5.00,-3.87,,6,12,,7,7,,4,10,,2268,2211,,65.5,103.8,.284,.311,.530,51.8,49.6,8.5,6.0,.503,15.2,31.0,.196
172,Merrimack,34,18,16,.529,-11.46,-9.40,,12,4,,10,6,,8,8,,2128,2119,,67.1,93.2,.343,.440,.524,43.4,58.6,16.6,11.2,.491,19.1,20.8,.237
173,Miami (FL) NCAA,32,25,7,.781,12.34,5.06,,15,5,,16,1,,7,4,,2541,2308,,69.0,114.7,.300,.346,.583,52.0,51.6,10.6,8.8,.550,14.3,32.0,.233
174,Miami (OH),32,12,20,.375,-7.08,-2.05,,6,12,,9,9,,3,9,,2357,2385,,69.4,105.7,.313,.405,.565,48.5,53.0,8.7,8.1,.526,17.3,27.6,.246
175,Michigan,33,18,15,.545,12.81,8.93,,11,9,,13,4,,3,7,,2429,2301,,67.5,106.7,.307,.377,.546,50.7,46.6,6.8,11.5,.517,13.3,25.4,.217
176,Michigan State NCAA,31,19,12,.613,14.06,11.22,,11,8,,12,2,,5,7,,2177,2089,,65.4,106.0,.258,.331,.547,52.2,57.6,6.9,8.2,.516,14.5,27.4,.197
177,Middle Tennessee,33,19,14,.576,2.71,1.84,,11,9,,12,2,,3,11,,2313,2236,,67.0,103.9,.287,.356,.538,51.4,41.5,11.2,13.7,.513,17.0,33.0,.196
178,Milwaukee,32,21,11,.656,-4.48,-3.97,,14,6,,15,3,,6,7,,2507,2363,,72.4,106.5,.331,.376,.559,52.0,50.8,9.5,14.9,.526,17.8,33.9,.242
179,Minnesota,31,9,22,.290,0.03,8.19,,2,17,,6,11,,1,9,,1949,2202,,65.4,95.4,.308,.355,.511,47.5,63.1,7.0,9.7,.490,17.4,25.0,.191
180,Mississippi,33,12,21,.364,6.18,7.76,,3,15,,7,10,,2,9,,2227,2279,,66.6,100.9,.292,.347,.506,51.1,52.9,10.6,10.0,.475,15.4,33.3,.203
181,Mississippi State NCAA,34,21,13,.618,11.86,7.13,,8,10,,12,4,,4,6,,2234,2073,,64.9,99.8,.338,.346,.497,53.1,59.1,13.1,11.3,.467,16.2,35.5,.219
182,Mississippi Valley State,32,5,27,.156,-17.96,-4.24,,4,14,,4,6,,1,19,,1953,2392,,68.2,88.7,.380,.276,.492,47.6,47.0,11.0,6.0,.454,20.7,28.6,.253
183,Missouri NCAA,33,24,9,.727,12.14,7.24,,11,7,,16,3,,5,5,,2623,2461,,70.2,112.3,.295,.433,.582,44.8,56.8,14.6,8.5,.551,14.2,26.8,.223
184,Missouri State,32,17,15,.531,0.72,-0.63,,12,8,,10,4,,5,8,,2098,2021,,63.0,102.9,.270,.432,.524,53.0,48.4,9.8,13.4,.506,16.4,33.5,.169
185,Monmouth,33,7,26,.212,-15.65,-2.62,,5,13,,3,10,,3,15,,2036,2466,,68.4,90.2,.331,.251,.474,47.6,52.9,12.3,8.5,.438,18.1,30.3,.221
186,Montana,31,17,14,.548,-0.82,-1.52,,10,7,,9,4,,6,9,,2147,2114,,64.1,107.6,.292,.398,.571,50.1,49.6,7.3,7.0,.536,15.6,24.5,.230
187,Montana State NCAA,34,25,9,.735,2.45,-1.65,,15,3,,12,1,,10,5,,2523,2265,,67.9,108.5,.437,.341,.573,51.9,49.6,9.5,8.5,.526,15.3,26.6,.332
188,Morehead State,33,22,11,.667,-6.76,-5.28,,14,4,,14,2,,8,8,,2315,2189,,67.0,104.3,.354,.381,.542,52.9,57.0,8.5,10.1,.505,15.7,28.7,.256
189,Morgan State,31,15,16,.484,-11.46,-5.98,,8,7,,10,2,,3,12,,2323,2242,,73.8,100.3,.297,.293,.533,47.6,55.5,13.1,11.6,.505,18.7,31.7,.205
190,Mount St. Mary's,33,13,20,.394,-8.04,-3.89,,8,12,,5,9,,7,10,,2101,2212,,65.8,96.0,.255,.342,.515,49.4,53.2,8.3,6.8,.485,18.1,27.8,.186
191,Murray State,32,17,15,.531,-4.10,-1.26,,11,9,,11,2,,3,11,,2254,2305,,66.9,104.1,.333,.325,.534,50.4,48.6,8.0,7.4,.495,14.2,27.6,.245
192,Navy,31,18,13,.581,-2.83,-6.17,,11,7,,9,6,,9,7,,2152,2013,,64.9,106.1,.235,.363,.543,51.4,56.8,10.6,8.2,.521,15.2,30.1,.166
193,NC State NCAA,33,23,10,.697,12.48,5.09,,12,8,,15,2,,4,6,,2580,2336,,69.9,111.5,.253,.376,.544,51.2,45.0,11.3,12.1,.518,11.7,30.7,.182
194,Nebraska,32,16,16,.500,7.39,9.30,,9,11,,11,4,,4,9,,2175,2236,,67.2,99.5,.282,.367,.536,49.3,51.0,8.1,7.2,.517,16.7,24.7,.180
195,Nevada NCAA,33,22,11,.667,10.37,6.78,,12,6,,14,1,,6,7,,2397,2238,,66.4,107.3,.395,.378,.563,49.9,59.3,8.8,9.5,.512,13.7,22.9,.313
196,Nevada-Las Vegas,32,19,13,.594,7.54,5.51,,7,11,,10,7,,5,6,,2376,2241,,69.6,104.6,.347,.396,.538,48.1,50.2,12.8,12.3,.501,15.1,28.5,.251
197,New Hampshire,30,15,15,.500,-9.11,-5.75,,9,7,,11,4,,4,11,,1992,2011,,65.7,100.2,.290,.415,.500,49.2,50.3,8.1,6.7,.469,13.0,27.0,.201
198,New Mexico,34,22,12,.647,11.14,5.53,,8,10,,15,5,,5,6,,2749,2525,,72.0,111.1,.392,.267,.567,51.4,47.4,9.3,10.4,.528,13.6,28.1,.289
199,New Mexico State,24,9,15,.375,-1.29,2.71,,2,10,,6,4,,1,9,,1769,1720,,71.6,102.9,.336,.374,.535,51.4,46.1,10.2,7.3,.506,15.6,29.0,.229
200,New Orleans,32,12,20,.375,-13.95,-7.09,,7,11,,6,9,,4,10,,2340,2536,,72.5,100.1,.378,.291,.556,48.7,55.9,9.2,5.9,.522,20.6,29.6,.268
201,Niagara,31,16,15,.516,-6.68,-4.48,,10,10,,9,4,,4,10,,2016,2044,,63.7,101.4,.293,.347,.539,49.9,46.1,8.3,6.1,.508,16.3,26.9,.212
202,Nicholls State,31,16,15,.516,-8.22,-5.14,,11,7,,11,3,,4,11,,2344,2253,,72.7,103.9,.274,.361,.536,49.1,48.9,13.4,9.1,.517,16.1,31.0,.177
203,NJIT,30,7,23,.233,-12.62,-5.65,,4,12,,5,8,,2,15,,2008,2182,,66.6,98.9,.281,.324,.511,47.8,45.2,7.9,7.7,.486,14.5,24.3,.187
204,Norfolk State,33,22,11,.667,-3.52,-6.42,,9,5,,10,2,,6,8,,2501,2264,,68.1,110.4,.380,.358,.571,53.5,48.4,10.3,12.6,.533,16.5,34.5,.283
205,North Alabama,32,18,14,.563,-8.19,-4.08,,10,8,,9,4,,8,10,,2396,2380,,69.3,106.8,.304,.350,.556,49.2,42.7,8.3,7.8,.528,14.2,24.9,.216
206,North Carolina,33,20,13,.606,12.93,7.66,,11,9,,12,3,,4,7,,2514,2340,,69.3,107.8,.370,.376,.535,53.6,45.8,7.6,9.3,.492,13.1,30.4,.274
207,North Carolina A&T,32,13,19,.406,-11.26,-3.81,,8,10,,8,5,,4,10,,2264,2362,,70.7,99.3,.297,.407,.514,47.5,46.5,10.5,8.0,.485,14.9,25.0,.202
208,North Carolina Central,30,18,12,.600,-2.81,-6.00,,10,4,,13,1,,4,10,,2268,1977,,70.2,106.0,.342,.353,.562,52.6,53.9,11.2,9.3,.533,18.5,32.9,.240
209,North Dakota,33,13,20,.394,-7.16,-2.65,,6,12,,8,8,,4,11,,2380,2438,,68.2,105.0,.271,.446,.542,48.7,45.9,6.4,6.6,.519,14.7,25.9,.185
210,North Dakota State,33,16,17,.485,-4.09,-1.63,,11,7,,9,4,,5,10,,2404,2414,,69.3,105.2,.314,.386,.549,52.1,42.7,5.7,7.6,.520,14.8,25.4,.223
211,North Florida,31,14,17,.452,-6.56,-2.36,,9,9,,11,2,,3,14,,2363,2405,,69.1,108.5,.277,.479,.568,47.8,48.4,7.1,8.4,.543,15.4,26.1,.199
212,North Texas,34,27,7,.794,9.49,1.37,,16,4,,13,2,,9,3,,2188,1892,,59.4,107.3,.327,.406,.545,53.8,50.7,10.5,9.6,.507,16.8,34.9,.245
213,Northeastern,30,10,20,.333,-10.36,-3.99,,6,12,,6,6,,3,12,,1959,2150,,67.1,96.5,.278,.373,.508,52.2,52.9,7.3,10.0,.480,18.3,31.7,.190
214,Northern Arizona,35,12,23,.343,-3.59,0.08,,5,13,,6,8,,3,13,,2581,2615,,68.0,106.9,.271,.384,.538,50.0,52.0,7.7,4.5,.508,13.6,28.0,.201
215,Northern Colorado,32,12,20,.375,-4.27,-0.27,,6,12,,6,7,,3,12,,2355,2480,,69.3,105.3,.319,.402,.555,48.9,43.9,6.6,4.2,.520,15.3,24.2,.238
216,Northern Illinois,32,13,19,.406,-6.19,-2.29,,9,9,,5,7,,7,10,,2304,2401,,70.9,101.1,.333,.373,.548,46.8,48.0,9.1,6.2,.526,17.9,25.2,.217
217,Northern Iowa,32,14,18,.438,-2.32,-0.71,,9,11,,8,8,,4,7,,2244,2238,,67.8,102.6,.310,.391,.547,49.9,45.9,9.3,4.8,.520,15.8,22.9,.216
218,Northern Kentucky NCAA,34,22,12,.647,-0.95,-3.41,,14,6,,14,3,,6,6,,2320,2161,,63.6,105.4,.283,.412,.530,49.2,55.4,14.5,8.2,.504,15.1,32.0,.196
219,Northwestern NCAA,32,21,11,.656,13.59,8.41,,12,8,,13,5,,7,4,,2165,1999,,65.3,102.8,.297,.412,.511,49.6,55.0,12.1,13.6,.472,12.8,28.2,.223
220,Northwestern State,33,22,11,.667,-4.45,-6.76,,13,5,,10,3,,10,7,,2463,2378,,68.4,108.3,.270,.380,.539,48.6,46.1,12.0,6.6,.513,14.7,32.9,.190
221,Notre Dame,32,11,21,.344,2.01,4.51,,3,17,,11,8,,0,10,,2227,2307,,65.4,105.9,.233,.430,.548,46.4,46.8,7.1,7.3,.520,12.1,19.6,.178
222,Oakland,32,13,19,.406,-7.79,-2.63,,11,9,,8,6,,5,10,,2347,2442,,69.0,104.3,.319,.398,.539,45.4,46.7,10.6,7.1,.496,13.5,24.4,.248
223,Ohio,33,19,14,.576,1.42,-2.33,,10,8,,14,1,,4,11,,2602,2413,,69.7,112.6,.277,.383,.557,52.2,43.6,9.6,6.2,.530,13.7,33.3,.202
224,Ohio State,35,16,19,.457,13.26,9.72,,5,15,,10,6,,1,10,,2538,2414,,65.9,109.2,.266,.317,.549,52.0,43.2,7.8,10.2,.520,14.0,31.5,.196
225,Oklahoma,32,15,17,.469,11.86,11.73,,5,13,,9,7,,2,8,,2165,2161,,66.4,101.1,.301,.374,.555,50.0,53.3,8.5,7.6,.524,18.0,23.7,.221
226,Oklahoma State,34,19,15,.559,13.25,10.81,,8,10,,11,5,,5,7,,2328,2245,,68.3,99.9,.325,.389,.522,52.5,51.5,8.2,13.8,.489,17.6,32.4,.227
227,Old Dominion,31,19,12,.613,-0.32,-0.55,,11,7,,12,4,,6,5,,2073,2052,,65.6,101.5,.367,.297,.501,51.9,44.6,9.6,11.7,.464,14.4,32.8,.249
228,Omaha,32,9,23,.281,-10.41,-1.44,,4,14,,5,7,,1,15,,2192,2438,,68.3,99.9,.296,.299,.532,48.1,47.7,7.8,8.4,.492,16.3,24.3,.230
229,Oral Roberts NCAA,34,30,4,.882,9.51,-3.03,,18,0,,16,0,,11,4,,2864,2384,,71.7,117.5,.249,.459,.591,50.3,48.5,9.6,14.2,.564,11.7,25.4,.193
230,Oregon,34,20,14,.588,14.05,9.78,,12,8,,14,5,,4,6,,2416,2271,,66.4,106.5,.317,.391,.541,54.0,51.9,8.4,13.3,.511,15.6,33.4,.223
231,Oregon State,32,11,21,.344,0.57,7.08,,5,15,,10,7,,1,10,,1959,2144,,65.1,94.0,.335,.367,.513,48.1,48.2,8.3,9.1,.469,18.4,25.2,.252
232,Pacific,33,15,18,.455,-0.15,2.46,,7,9,,7,10,,7,7,,2502,2565,,70.8,106.3,.339,.396,.561,46.1,48.3,7.6,7.3,.529,14.9,23.4,.244
233,Penn State NCAA,35,22,13,.629,12.77,8.85,,10,10,,13,4,,4,7,,2531,2394,,64.5,110.1,.214,.474,.576,48.3,52.7,6.7,6.0,.555,12.5,18.8,.158
234,Pennsylvania,30,17,13,.567,0.63,-1.34,,9,5,,11,4,,6,9,,2249,2160,,67.9,108.5,.294,.388,.564,52.7,54.7,8.0,9.5,.534,16.1,30.3,.218
235,Pepperdine,31,9,22,.290,0.26,5.09,,2,14,,8,8,,0,12,,2417,2520,,73.9,103.8,.268,.362,.555,49.1,52.2,7.2,8.9,.531,16.7,26.1,.191
236,Pittsburgh NCAA,34,23,11,.676,9.97,4.47,,14,6,,14,3,,7,5,,2572,2385,,68.0,111.3,.322,.439,.566,51.2,54.6,7.7,11.4,.531,14.2,29.9,.244
237,Portland,33,14,19,.424,2.07,4.52,,5,11,,10,7,,2,10,,2566,2594,,71.1,108.5,.421,.460,.582,48.1,58.4,6.9,6.5,.541,16.0,24.6,.314
238,Portland State,31,12,19,.387,-4.79,-0.21,,6,11,,6,7,,5,9,,2363,2340,,72.3,105.4,.338,.369,.546,46.7,51.6,9.8,9.5,.510,14.8,26.0,.246
239,Prairie View,33,13,20,.394,-8.97,-6.64,,9,10,,9,4,,4,14,,2226,2256,,69.7,95.0,.331,.328,.488,51.4,45.4,10.5,10.2,.451,16.5,32.3,.228
240,Presbyterian,32,5,27,.156,-13.58,-5.05,,1,17,,5,9,,0,15,,2021,2223,,65.1,96.2,.369,.360,.503,49.9,47.9,8.4,9.0,.476,17.6,30.7,.231
