School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,31,20,11,.645,-2.87,-6.87,15,5,13,3,7,8,2352,2024,1260,814,1813,.449,209,676,.309,515,695,.741,337,1042,461,293,81,436,661,71.1,105.0,.383,.373,.549,50.1,56.6,13.1,7.9,.507,16.9,30.6,.284
Air Force,32,12,20,.375,-0.37,3.02,5,13,8,7,3,9,2338,2386,1280,802,1759,.456,275,734,.375,459,628,.731,237,1040,469,161,43,395,534,68.9,106.0,.357,.417,.568,50.0,58.5,7.3,4.6,.534,16.1,22.7,.261
Akron,31,24,7,.774,7.15,-0.40,14,4,15,2,8,4,2348,2062,1240,788,1789,.440,287,795,.361,485,628,.772,302,1169,405,158,91,397,548,70.6,107.2,.351,.444,.562,50.7,51.4,7.2,7.3,.521,16.0,27.9,.271
Alabama,31,16,15,.516,11.12,8.12,8,10,10,5,4,8,2542,2449,1260,854,1956,.437,334,957,.349,500,721,.693,361,1220,441,196,136,461,622,76.1,106.0,.369,.489,.553,49.7,51.6,8.2,10.4,.522,16.7,29.8,.256
Alabama A&M,30,8,22,.267,-18.88,-8.85,5,13,6,5,2,16,1845,2146,1205,656,1727,.380,154,548,.281,379,565,.671,286,1035,326,174,63,391,538,69.6,87.9,.327,.317,.462,47.5,49.7,8.3,5.7,.424,16.4,24.7,.219
Alabama State,32,8,24,.250,-16.15,-6.53,7,11,4,5,2,16,1965,2273,1280,683,1763,.387,208,687,.303,391,629,.622,295,1031,325,200,70,512,638,70.8,86.7,.357,.390,.477,47.1,47.6,8.8,6.0,.446,19.9,25.7,.222
Albany (NY),32,14,18,.438,-8.78,-5.91,7,9,7,7,5,11,2127,2190,1285,725,1768,.410,255,774,.329,422,600,.703,259,1096,409,179,90,436,533,69.7,95.0,.339,.438,.518,49.8,56.4,8.0,7.9,.482,17.5,24.1,.239
Alcorn State,30,15,15,.500,-14.64,-9.64,11,7,11,2,4,13,2251,2196,1210,784,1836,.427,268,733,.366,415,558,.744,330,1116,404,239,98,433,549,72.6,102.5,.304,.399,.536,51.3,51.5,10.9,8.4,.500,17.1,30.2,.226
American,30,16,14,.533,-4.37,-6.50,12,6,10,4,6,10,2149,2085,1205,796,1743,.457,206,606,.340,351,499,.703,267,978,384,240,106,369,521,69.0,103.4,.286,.348,.543,48.5,48.2,11.5,9.3,.516,15.7,26.5,.201
Appalachian State,33,18,15,.545,-0.81,-0.01,11,9,10,5,7,9,2256,2222,1325,775,1800,.431,212,699,.303,494,741,.667,323,1153,381,246,74,440,514,68.6,99.3,.412,.388,.524,49.7,49.2,10.8,6.5,.489,17.0,27.7,.274
Arizona,32,21,11,.656,19.49,8.40,10,8,13,4,4,6,2445,2090,1290,850,1905,.446,233,661,.352,512,699,.732,349,1198,492,216,119,378,593,70.3,107.9,.367,.347,.546,52.5,57.9,9.5,10.6,.507,14.5,30.7,.269
Arizona State,31,20,11,.645,11.46,8.10,11,7,13,3,6,5,2288,2184,1240,816,1904,.429,227,703,.323,429,617,.695,312,1115,345,249,104,408,577,73.7,100.1,.324,.369,.521,48.5,42.3,10.9,9.4,.488,15.7,26.5,.225
Arkansas,32,20,12,.625,13.46,7.27,7,11,14,4,4,8,2426,2228,1300,808,1825,.443,243,728,.334,567,776,.731,239,1010,381,253,124,369,638,71.4,104.5,.425,.399,.553,45.2,47.2,10.9,10.3,.509,14.4,21.5,.311
Arkansas State,32,16,16,.500,-2.92,-0.72,8,12,10,7,6,9,2262,2301,1290,750,1718,.437,184,545,.338,578,814,.710,316,1054,442,220,85,415,655,68.5,102.4,.474,.317,.537,49.3,58.9,10.0,7.6,.490,16.5,28.8,.336
Arkansas-Pine Bluff,30,4,26,.133,-21.65,-6.41,3,15,2,8,2,18,1615,2049,1205,588,1483,.396,113,429,.263,326,554,.588,267,940,288,216,97,531,617,67.6,79.3,.374,.289,.462,48.9,49.0,10.6,9.8,.435,23.3,27.9,.220
Army,30,15,15,.500,-9.10,-6.68,10,8,9,6,6,9,2128,2161,1210,821,1742,.471,215,645,.333,271,441,.615,201,1016,487,167,49,354,444,69.7,100.9,.253,.370,.545,48.6,59.3,7.9,4.6,.533,15.4,20.0,.156
Auburn,31,25,6,.806,15.04,7.39,12,6,16,1,5,5,2419,2182,1270,808,1868,.433,252,824,.306,551,818,.674,421,1266,397,199,151,399,596,70.4,108.2,.438,.441,.536,53.7,49.1,8.9,12.9,.500,15.0,35.3,.295
Austin Peay,33,21,12,.636,-0.98,-4.14,14,4,14,0,5,10,2519,2359,1325,892,1943,.459,223,644,.346,512,715,.716,390,1189,434,218,100,423,604,69.9,108.9,.368,.331,.552,52.1,48.7,9.4,8.2,.516,15.6,33.1,.264
Ball State,31,18,13,.581,4.12,-1.65,11,7,11,4,5,7,2155,1938,1240,749,1754,.427,283,842,.336,374,540,.693,272,1119,417,206,105,413,496,69.4,100.2,.308,.480,.536,51.0,55.7,9.6,9.0,.508,17.0,25.3,.213
Baylor,30,26,4,.867,20.13,9.13,15,3,14,1,8,2,2134,1804,1205,763,1778,.429,230,656,.351,378,548,.690,387,1106,413,244,132,357,509,66.6,106.4,.308,.369,.523,52.5,54.1,12.2,12.5,.494,14.9,35.7,.213
Belmont,33,26,7,.788,4.30,-6.23,15,3,13,1,11,5,2627,2241,1320,986,2074,.475,320,908,.352,335,470,.713,290,1232,604,249,106,392,497,72.8,109.4,.227,.438,.572,50.5,61.3,10.4,8.0,.553,14.6,24.9,.162
Bethune-Cookman,30,16,14,.533,-10.16,-8.98,10,6,10,1,4,13,2239,2167,1215,782,1842,.425,184,576,.319,491,701,.700,354,1175,362,217,89,465,591,75.0,98.3,.381,.313,.515,50.5,46.3,9.5,7.5,.474,17.6,30.6,.267
Binghamton,29,10,19,.345,-15.03,-4.62,4,12,7,7,3,12,2014,2221,1165,717,1750,.410,278,839,.331,302,417,.724,278,1013,339,151,88,358,479,69.4,99.6,.238,.479,.517,47.1,47.3,7.5,7.9,.489,15.5,25.6,.173
Boise State,32,20,12,.625,8.59,4.39,11,7,13,2,4,8,2430,2223,1305,829,1853,.447,269,781,.344,503,670,.751,285,1113,416,182,46,399,551,70.0,106.5,.362,.421,.560,51.5,50.2,8.0,4.1,.520,15.5,25.9,.271
Boston College,32,13,19,.406,1.82,7.86,7,13,8,10,4,8,2067,2260,1285,742,1844,.402,230,747,.308,353,536,.659,301,1058,403,245,82,439,506,69.6,92.4,.291,.405,.492,46.4,54.3,11.0,7.1,.465,17.3,25.4,.191
Boston University,34,21,13,.618,-1.87,-5.30,12,6,12,3,9,8,2410,2269,1375,919,1998,.460,224,687,.326,348,540,.644,343,1228,430,187,77,384,513,66.8,105.0,.270,.344,.534,52.1,46.8,8.1,6.1,.516,14.6,28.9,.174
Bowling Green State,31,21,10,.677,0.47,0.20,12,6,13,2,5,5,2310,2259,1250,822,1968,.418,242,717,.338,424,564,.752,349,1238,380,169,71,343,545,71.6,103.2,.287,.364,.517,51.1,46.2,7.6,6.1,.479,13.3,28.7,.215
Bradley,34,23,11,.676,5.33,0.33,11,7,15,2,4,8,2438,2240,1370,872,1976,.441,230,618,.372,464,631,.735,377,1310,457,163,138,400,562,67.3,105.7,.319,.313,.536,53.5,52.4,7.1,12.5,.499,14.9,31.5,.235
Brigham Young,32,24,8,.750,16.93,6.45,13,3,14,1,6,5,2548,2188,1295,949,1897,.500,332,785,.423,318,454,.700,209,1061,554,186,67,353,513,69.7,112.8,.239,.414,.603,49.6,58.4,8.2,5.4,.588,14.3,20.5,.168
Brown,27,15,12,.556,-4.45,-1.72,8,6,10,4,5,8,1809,1854,1080,626,1576,.397,183,600,.305,374,512,.730,332,1033,304,179,118,405,451,70.2,95.4,.325,.381,.497,52.1,48.6,9.4,11.9,.455,18.2,32.3,.237
Bryant,32,15,17,.469,-6.70,-6.67,7,11,9,5,6,12,2271,2223,1285,802,1932,.415,269,837,.321,398,588,.677,389,1289,441,207,140,460,588,70.7,100.0,.304,.433,.513,52.0,55.0,9.1,11.3,.485,17.2,31.6,.206
Bucknell,34,14,20,.412,-7.73,-4.32,8,10,9,4,4,14,2299,2415,1360,820,1945,.422,279,813,.343,380,553,.687,286,1101,410,243,117,451,632,69.9,96.7,.284,.418,.521,47.9,50.0,10.2,9.4,.493,17.0,24.0,.195
Buffalo,32,20,12,.625,1.80,0.06,11,7,10,7,7,4,2516,2425,1290,927,2139,.433,261,809,.323,401,598,.671,463,1343,473,249,147,437,600,74.7,104.5,.280,.378,.519,52.5,51.0,10.3,11.1,.494,15.3,35.0,.187
Butler,31,22,9,.710,15.56,9.14,10,8,14,3,5,6,2125,1926,1245,776,1687,.460,212,621,.341,361,496,.728,280,1079,395,165,82,349,519,64.6,105.7,.294,.368,.553,53.3,50.9,8.2,7.8,.523,15.4,29.4,.214
Cal Poly,30,7,23,.233,-10.00,-0.42,4,12,7,6,0,15,2027,2248,1235,710,1685,.421,200,573,.349,407,587,.693,244,977,312,192,74,409,629,68.8,95.4,.348,.340,.516,46.9,43.9,9.0,6.9,.481,17.2,23.0,.242
Cal State Bakersfield,31,12,19,.387,-7.11,-3.26,6,10,9,7,3,12,2109,2097,1265,785,1803,.435,154,491,.314,385,563,.684,398,1155,363,194,94,422,662,66.0,101.1,.312,.272,.509,54.7,46.2,9.3,10.2,.478,16.9,36.1,.214
Cal State Fullerton,31,11,20,.355,-6.79,-1.38,6,10,6,8,4,11,2127,2213,1265,750,1735,.432,194,586,.331,433,644,.672,250,1040,358,158,93,406,574,69.5,96.8,.371,.338,.521,48.0,47.7,7.2,7.7,.488,16.6,22.8,.250
Cal State Northridge,32,15,17,.469,-6.37,-0.97,10,6,10,4,5,12,2435,2528,1280,877,1925,.456,243,652,.373,438,603,.726,290,1068,449,181,101,363,554,71.4,106.6,.313,.339,.551,47.3,51.2,7.9,8.7,.519,14.1,25.7,.228
California,32,14,18,.438,3.20,9.05,7,11,12,5,1,10,2023,2210,1295,708,1681,.421,160,477,.335,447,606,.738,258,1044,294,129,80,409,601,65.7,95.1,.360,.284,.514,49.6,41.5,6.1,7.4,.469,17.2,24.8,.266
California Baptist,31,21,10,.677,-1.99,-6.66,10,6,15,5,6,5,2465,2170,1255,826,1868,.442,306,806,.380,507,645,.786,360,1270,445,129,108,396,571,70.5,111.5,.345,.431,.567,54.8,53.9,5.8,8.5,.524,15.4,32.4,.271
Campbell,31,15,16,.484,-8.51,-8.10,6,12,8,5,6,10,2130,2065,1245,781,1700,.459,247,706,.350,321,439,.731,217,949,462,223,91,398,545,67.2,101.9,.258,.415,.558,47.6,59.2,10.7,8.3,.532,17.3,22.2,.189
Canisius,32,12,20,.375,-7.60,-5.44,7,13,7,6,4,12,2196,2265,1280,806,1861,.433,193,639,.302,391,562,.696,328,1071,452,227,80,458,603,70.3,97.6,.302,.343,.516,48.9,56.1,10.1,7.1,.485,17.7,28.9,.210
Central Arkansas,31,10,21,.323,-11.26,-2.70,9,11,8,4,2,16,2316,2553,1270,777,1842,.422,231,745,.310,531,741,.717,329,1186,451,164,159,549,637,75.9,96.1,.402,.404,.528,50.3,58.0,6.8,12.7,.485,20.0,28.4,.288
Central Connecticut State,31,4,27,.129,-20.33,-4.63,3,15,4,9,0,16,1959,2396,1240,705,1772,.398,200,560,.357,349,516,.676,263,989,313,199,105,440,581,70.7,89.3,.291,.316,.486,44.8,44.4,9.1,9.4,.454,17.9,23.3,.197
Central Florida,30,16,14,.533,5.13,4.13,7,11,10,6,4,7,2067,2037,1210,739,1713,.431,213,659,.323,376,529,.711,301,1039,404,195,87,414,498,68.7,99.5,.309,.385,.526,49.3,54.7,9.4,8.0,.494,17.4,28.8,.219
Central Michigan,32,14,18,.438,-3.40,-0.26,7,11,12,4,2,14,2506,2454,1285,876,2037,.430,247,763,.324,507,680,.746,349,1153,371,292,80,406,522,75.0,104.0,.334,.375,.531,48.8,42.4,12.1,6.8,.491,14.7,27.9,.249
Charleston Southern,32,14,18,.438,-13.14,-6.98,7,11,9,6,5,11,2203,2304,1295,792,1856,.427,258,795,.325,361,487,.741,260,1029,424,190,82,404,493,68.6,99.2,.262,.428,.528,46.3,53.5,8.6,7.0,.496,16.2,22.8,.195
Charlotte,29,16,13,.552,0.46,-1.09,10,8,13,2,3,11,1922,1877,1175,671,1480,.453,185,544,.340,395,562,.703,188,904,351,221,99,402,443,66.6,98.2,.380,.368,.550,49.9,52.3,11.3,10.5,.516,18.7,21.4,.267
Chattanooga,33,20,13,.606,0.39,-1.90,10,8,10,4,7,8,2410,2261,1325,868,1907,.455,281,787,.357,393,552,.712,301,1162,456,158,49,395,506,68.2,106.6,.289,.413,.556,51.7,52.5,7.0,4.1,.529,15.4,26.8,.206
Chicago State,29,4,25,.138,-28.20,-2.85,0,14,3,11,1,12,1781,2372,1160,596,1446,.412,162,507,.320,427,592,.721,207,848,300,144,73,513,593,70.3,87.4,.409,.351,.516,45.9,50.3,7.1,7.2,.468,22.9,22.6,.295
Cincinnati,30,20,10,.667,12.33,6.73,13,5,13,2,5,6,2182,2014,1240,763,1713,.445,197,618,.319,459,678,.677,329,1131,437,196,146,432,540,68.9,102.2,.396,.361,.536,52.5,57.3,9.2,12.5,.503,17.5,32.0,.268
Clemson,31,16,15,.516,10.26,7.88,9,11,11,6,3,8,2062,1988,1255,735,1717,.428,251,797,.315,341,497,.686,248,1045,401,211,74,386,472,66.6,98.7,.289,.464,.528,49.3,54.6,10.1,7.8,.501,16.5,23.3,.199
Cleveland State,32,11,21,.344,-11.16,-2.45,7,11,6,8,3,13,2053,2298,1290,738,1772,.416,120,408,.294,457,688,.664,370,1120,379,246,84,487,648,68.9,92.4,.388,.230,.489,49.2,51.4,11.1,7.5,.450,18.8,32.0,.258
Coastal Carolina,33,16,17,.485,-0.83,-0.31,8,12,9,9,7,7,2573,2518,1320,915,2030,.451,242,719,.337,501,700,.716,440,1329,446,248,92,530,727,74.0,105.4,.345,.354,.545,54.1,48.7,10.2,8.7,.510,18.3,35.9,.247
Colgate,34,25,9,.735,1.47,-5.63,14,4,15,2,9,7,2588,2315,1365,932,2079,.448,342,957,.357,382,511,.748,341,1246,491,206,98,370,514,68.8,110.3,.246,.460,.557,51.0,52.7,8.8,7.9,.531,13.7,28.0,.184
College of Charleston,31,17,14,.548,0.53,-0.84,11,7,10,5,6,6,2176,2109,1240,755,1717,.440,237,683,.347,429,564,.761,238,1006,337,207,78,334,523,66.9,105.0,.328,.398,.548,47.4,44.6,10.0,7.2,.509,14.4,22.9,.250
Colorado,32,21,11,.656,14.91,8.31,10,8,13,3,4,7,2268,2057,1290,777,1778,.437,241,687,.351,473,643,.736,322,1179,422,183,98,422,470,68.2,103.2,.362,.386,.544,53.9,54.3,8.3,7.9,.505,16.8,30.2,.266
Colorado State,32,20,12,.625,6.70,3.96,11,7,12,4,5,6,2417,2307,1300,841,1793,.469,258,705,.366,475,700,.679,284,1143,497,209,64,418,489,69.7,106.8,.390,.393,.569,52.0,59.1,9.2,5.8,.541,16.4,26.5,.265
Columbia,30,6,24,.200,-10.19,-2.50,1,13,5,7,0,16,1988,2181,1215,744,1819,.409,202,671,.301,298,408,.730,228,1031,328,164,93,337,465,69.6,94.0,.224,.369,.494,47.1,44.1,7.8,8.4,.465,14.3,20.4,.164
Connecticut,31,19,12,.613,11.15,5.34,10,8,14,3,3,7,2258,2078,1280,782,1862,.420,216,667,.324,478,644,.742,393,1174,400,220,185,439,577,69.0,102.3,.346,.358,.521,51.9,51.2,10.0,15.0,.478,16.8,34.1,.257
Coppin State,31,11,20,.355,-14.36,-8.27,7,9,5,5,6,15,2109,2298,1250,736,1872,.393,247,879,.281,390,613,.636,291,1181,315,209,94,445,546,74.4,90.7,.327,.470,.487,47.4,42.8,9.0,8.1,.459,17.1,23.4,.208
Cornell,27,7,20,.259,-8.37,-1.85,4,10,6,6,1,14,1818,1912,1095,669,1519,.440,194,597,.325,286,409,.699,226,866,380,182,78,313,460,66.2,100.3,.269,.393,.531,47.8,56.8,10.0,8.5,.504,15.4,24.8,.188
Creighton,31,24,7,.774,17.24,9.61,13,5,17,1,6,5,2428,2162,1245,866,1839,.471,302,783,.386,394,533,.739,246,1079,489,203,79,337,472,70.0,111.5,.290,.426,.580,48.5,56.5,9.3,6.6,.553,13.9,23.6,.214
Dartmouth,29,12,17,.414,-4.17,-3.20,5,9,6,6,5,10,1894,1872,1170,700,1582,.442,201,629,.320,293,433,.677,195,1015,364,134,74,354,483,66.6,97.2,.274,.398,.530,51.3,52.0,6.9,8.0,.506,16.5,20.7,.185
Davidson,30,16,14,.533,8.85,3.62,10,8,11,1,4,9,2182,2025,1230,755,1667,.453,272,741,.367,400,525,.762,239,992,422,164,80,331,482,65.4,108.5,.315,.445,.569,50.4,55.9,8.2,7.7,.534,14.7,24.7,.240
Dayton,31,29,2,.935,19.17,3.69,18,0,17,0,9,0,2480,2000,1255,905,1725,.525,249,672,.371,421,585,.720,242,1085,546,176,109,377,529,67.9,116.4,.339,.390,.619,52.5,60.3,8.3,9.2,.597,15.8,26.4,.244
Delaware,33,22,11,.667,-1.53,-3.84,11,7,10,3,7,6,2452,2332,1325,881,1833,.481,251,705,.356,439,579,.758,252,1107,431,180,109,423,544,68.6,107.9,.316,.385,.582,50.4,48.9,7.9,9.3,.549,16.7,24.5,.239
Delaware State,32,6,26,.188,-20.87,-9.54,4,12,3,11,2,13,2350,2655,1290,824,2004,.411,249,791,.315,453,661,.685,335,1142,334,220,71,488,663,76.3,95.6,.330,.395,.507,47.3,40.5,8.9,6.2,.473,17.4,26.4,.226
Denver,31,7,24,.226,-10.06,-1.99,3,13,6,8,0,14,2135,2360,1250,770,1734,.444,162,504,.321,433,628,.689,221,1037,347,182,71,428,627,71.6,95.4,.362,.291,.525,48.3,45.1,8.1,7.0,.491,17.4,20.8,.250
DePaul,32,16,16,.500,7.63,8.95,3,15,11,7,4,9,2262,2274,1290,832,1906,.437,181,579,.313,417,634,.658,371,1191,434,257,159,469,611,71.7,97.8,.333,.304,.512,50.3,52.2,11.1,14.8,.484,17.5,30.9,.219
Detroit Mercy,31,8,23,.258,-9.87,-1.90,6,12,5,8,2,14,2175,2422,1245,724,1850,.391,263,815,.323,464,593,.782,360,1118,322,179,94,421,520,70.6,99.0,.321,.441,.510,49.5,44.5,8.1,8.2,.462,16.5,30.8,.251
Drake,34,20,14,.588,0.43,0.61,8,10,14,2,2,10,2359,2302,1365,854,1864,.458,245,711,.345,406,569,.714,255,1149,507,187,132,438,566,68.0,101.6,.305,.381,.553,51.4,59.4,8.1,11.6,.524,17.0,23.5,.218
Drexel,33,14,19,.424,-5.38,-2.20,6,12,10,5,1,13,2254,2323,1325,821,1860,.441,241,690,.349,371,530,.700,344,1162,475,186,93,481,538,67.9,100.3,.285,.371,.534,51.8,57.9,8.3,7.0,.506,18.6,30.4,.199
Duke,31,25,6,.806,22.55,8.00,15,5,15,2,7,4,2558,2107,1260,920,1957,.470,217,617,.352,501,696,.720,394,1244,479,258,188,409,557,72.9,111.4,.356,.315,.559,53.8,52.1,11.2,13.6,.526,15.2,34.8,.256
Duquesne,30,21,9,.700,6.77,1.67,11,7,10,4,6,3,2146,1993,1215,758,1711,.443,235,738,.318,395,562,.703,300,1038,428,207,161,378,463,67.8,104.2,.328,.431,.542,49.8,56.5,10.1,14.8,.512,16.0,29.2,.231
East Carolina,31,11,20,.355,-2.27,1.82,5,13,9,7,1,11,2111,2238,1250,741,1759,.421,162,577,.281,467,647,.722,297,1095,424,202,93,426,642,70.7,95.6,.368,.328,.511,50.3,57.2,9.1,9.2,.467,17.1,27.3,.265
East Tennessee State,34,30,4,.882,7.63,-1.82,16,2,16,1,11,3,2593,2146,1360,919,1936,.475,260,752,.346,495,713,.694,370,1206,471,278,121,412,598,68.2,111.9,.368,.388,.570,53.4,51.3,12.0,10.9,.542,15.3,32.7,.256
Eastern Illinois,32,17,15,.531,-5.08,-7.41,9,9,10,2,5,11,2377,2214,1290,890,1944,.458,215,629,.342,382,579,.660,342,1169,449,245,141,402,526,70.9,104.0,.298,.324,.536,50.4,50.4,10.7,11.5,.513,15.3,29.2,.197
Eastern Kentucky,33,16,17,.485,-9.17,-4.46,12,6,10,4,5,10,2464,2488,1320,857,2084,.411,268,835,.321,482,664,.726,334,1113,397,307,70,461,602,76.2,98.0,.319,.401,.513,45.2,46.3,12.2,5.5,.476,16.1,25.7,.231
Eastern Michigan,32,16,16,.500,-3.12,0.95,6,12,11,4,3,12,2078,2050,1280,725,1703,.426,180,643,.280,448,714,.627,313,1085,311,314,105,458,544,68.1,95.4,.419,.378,.509,48.6,42.9,14.4,11.6,.479,18.3,27.8,.263
Eastern Washington,31,23,8,.742,2.01,-1.81,16,4,13,2,10,6,2509,2259,1250,913,1986,.460,288,826,.349,395,569,.694,328,1186,544,221,112,398,578,74.3,108.0,.287,.416,.556,50.9,59.6,9.5,8.7,.532,15.0,28.3,.199
Elon,34,13,21,.382,-7.81,-2.03,7,11,8,8,3,12,2337,2438,1365,805,1932,.417,346,952,.363,381,518,.736,282,1108,453,160,64,392,660,67.3,101.8,.268,.493,.536,48.2,56.3,7.0,6.0,.506,15.3,23.5,.197
Evansville,32,9,23,.281,-7.04,0.61,0,18,5,10,3,10,2149,2368,1310,746,1769,.422,241,750,.321,416,570,.730,224,1005,392,152,74,406,534,67.9,96.7,.322,.424,.527,46.6,52.5,6.8,5.7,.490,16.6,20.3,.235
Fairfield,32,12,20,.375,-9.65,-4.81,8,12,5,8,6,9,1857,2012,1300,651,1669,.390,138,486,.284,417,600,.695,327,1099,276,164,88,440,524,63.6,89.8,.359,.291,.475,51.6,42.4,7.9,8.2,.431,18.4,30.2,.250
Fairleigh Dickinson,30,11,19,.367,-9.94,-5.87,9,9,7,5,4,14,2167,2236,1210,787,1740,.452,222,622,.357,371,513,.723,273,1007,356,191,99,389,489,69.3,103.4,.295,.357,.546,48.3,45.2,9.1,9.4,.516,16.4,26.8,.213
Florida,31,19,12,.613,14.94,9.10,11,7,11,4,4,7,2228,2047,1250,791,1729,.457,221,636,.347,425,588,.723,313,1080,368,178,121,369,528,66.3,107.5,.340,.368,.555,52.4,46.5,8.6,11.1,.521,15.5,31.1,.246
Florida A&M,27,12,15,.444,-12.17,-6.24,10,6,8,0,4,13,1824,1984,1105,664,1582,.420,107,377,.284,389,613,.635,323,944,272,202,51,415,519,70.8,93.3,.387,.238,.487,48.6,41.0,10.3,5.2,.454,18.1,31.2,.246
